organisation,corpus_n,rrd_n,rrd_ratio,corpus_pct,rrd_pct
inews,5,0,0.0,0.3022974607013301,0.0
innovate_ed,1,0,0.0,0.06045949214026602,0.0
inside_edge_training,1,0,0.0,0.06045949214026602,0.0
internet_matters,2,0,0.0,0.12091898428053204,0.0
ippo,5,0,0.0,0.3022974607013301,0.0
ippr,5,1,0.2,0.3022974607013301,0.4291845493562232
issuu,1,0,0.0,0.06045949214026602,0.0
joseph_rowntree_foundation,6,0,0.0,0.36275695284159615,0.0
jstor,1,0,0.0,0.06045949214026602,0.0
jstor_daily,1,0,0.0,0.06045949214026602,0.0
kings_college_london,2,0,0.0,0.12091898428053204,0.0
kings_fund,1,0,0.0,0.06045949214026602,0.0
labour_list,1,0,0.0,0.06045949214026602,0.0
labour_party,1,0,0.0,0.06045949214026602,0.0
labour_together,1,0,0.0,0.06045949214026602,0.0
leverhulme_trust,1,0,0.0,0.06045949214026602,0.0
liberal_democrats,2,0,0.0,0.12091898428053204,0.0
linkedin,7,0,0.0,0.42321644498186217,0.0
local_ed_2025,1,0,0.0,0.06045949214026602,0.0
local_government_chronicle,1,0,0.0,0.06045949214026602,0.0
local_government_information_unit,2,0,0.0,0.12091898428053204,0.0
london_design_biennale,1,0,0.0,0.06045949214026602,0.0
london_school_of_economics,3,0,0.0,0.18137847642079807,0.0
lucas_education_foundation,1,0,0.0,0.06045949214026602,0.0
magic_breakfast,1,0,0.0,0.06045949214026602,0.0
magicsmoke_substack,1,0,0.0,0.06045949214026602,0.0
manchester_metropolitan_university,3,0,0.0,0.18137847642079807,0.0
mdpi_journals,1,0,0.0,0.06045949214026602,0.0
n8_research_partnership,4,0,0.0,0.24183796856106407,0.0
nasuwt_teachers_union,2,1,0.5,0.12091898428053204,0.4291845493562232
nation_cymru,1,0,0.0,0.06045949214026602,0.0
national_association_head_teachers,2,0,0.0,0.12091898428053204,0.0
national_audit_office,5,1,0.2,0.3022974607013301,0.4291845493562232
national_crime_agency,1,0,0.0,0.06045949214026602,0.0
national_education_policy_center,2,0,0.0,0.12091898428053204,0.0
national_education_union,8,2,0.25,0.48367593712212814,0.8583690987124464
national_institute_of_teaching,3,3,1.0,0.18137847642079807,1.2875536480686696
national_literacy_trust,3,0,0.0,0.18137847642079807,0.0
nesta,4,0,0.0,0.24183796856106407,0.0
