organisation,ai_tools,phones_safety,equity_access,governance_regulation,learning_outcomes,teacher_development
kings_college_london,0.0,0.0,0.0,0.0,0.0,0.0
kings_fund,0.0,0.0,0.0,0.0,0.0,0.0
labour_list,0.0,0.0,0.0,0.0,0.0,0.0
labour_party,0.0,0.0,0.0,0.0,0.0,0.0
labour_together,0.0,0.0,0.0,0.0,0.0,0.0
leverhulme_trust,0.0,0.0,0.0,0.0,0.0,0.0
liberal_democrats,0.0,0.0,0.0,0.0,0.0,0.0
linkedin,0.0,0.0,0.0,0.0,0.0,0.0
local_ed_2025,0.0,0.0,0.0,0.0,0.0,0.0
local_government_chronicle,0.0,0.0,0.0,0.0,0.0,0.0
local_government_information_unit,0.0,0.0,0.0,0.0,0.0,0.0
london_design_biennale,0.0,0.0,0.0,0.0,0.0,0.0
london_school_of_economics,100.0,66.7,0.0,100.0,33.3,0.0
lucas_education_foundation,0.0,0.0,0.0,0.0,0.0,0.0
magic_breakfast,0.0,0.0,0.0,0.0,0.0,0.0
magicsmoke_substack,0.0,0.0,0.0,0.0,0.0,0.0
manchester_metropolitan_university,0.0,0.0,0.0,0.0,0.0,0.0
mdpi_journals,0.0,0.0,0.0,0.0,0.0,0.0
n8_research_partnership,0.0,0.0,0.0,0.0,0.0,0.0
nasuwt_teachers_union,0.0,0.0,0.0,0.0,0.0,0.0
nation_cymru,0.0,0.0,0.0,0.0,0.0,0.0
national_association_head_teachers,0.0,0.0,0.0,0.0,0.0,0.0
national_audit_office,0.0,0.0,0.0,0.0,0.0,0.0
national_crime_agency,0.0,0.0,0.0,0.0,0.0,0.0
national_education_policy_center,0.0,0.0,0.0,0.0,0.0,0.0
national_education_union,33.3,0.0,0.0,0.0,33.3,33.3
national_institute_of_teaching,0.0,0.0,0.0,0.0,0.0,0.0
national_literacy_trust,0.0,0.0,0.0,0.0,0.0,0.0
nesta,0.0,0.0,0.0,0.0,0.0,0.0
new_visions_for_education,0.0,0.0,0.0,0.0,0.0,0.0
nfer,0.0,0.0,0.0,0.0,0.0,0.0
ni_government,0.0,0.0,0.0,0.0,0.0,0.0
northern_health_science_alliance,0.0,0.0,0.0,0.0,0.0,0.0
nottingham_trent_university,0.0,0.0,0.0,0.0,0.0,0.0
nspcc_learning,0.0,0.0,0.0,0.0,0.0,0.0
nuffield,75.0,50.0,25.0,25.0,75.0,75.0
nursery_world_magazine,0.0,0.0,0.0,0.0,0.0,0.0
ocr_exam_board,0.0,0.0,0.0,0.0,0.0,0.0
oecd,75.0,37.5,12.5,12.5,62.5,12.5
office_for_national_statistics,0.0,0.0,0.0,0.0,0.0,0.0
ofsted_blog,0.0,0.0,0.0,0.0,0.0,0.0
oii_edtech_equity,0.0,0.0,0.0,0.0,0.0,0.0
on_think_tanks,0.0,0.0,0.0,0.0,0.0,0.0
options_2040_project,0.0,0.0,0.0,0.0,0.0,0.0
oriel_square,0.0,0.0,0.0,0.0,0.0,0.0
oxford_school_of_thought,0.0,0.0,0.0,0.0,0.0,0.0
pearson,0.0,0.0,0.0,0.0,0.0,0.0
play_wales,0.0,0.0,0.0,0.0,0.0,0.0
policy_manchester_blog,0.0,0.0,0.0,0.0,0.0,0.0
politics_home,0.0,0.0,0.0,0.0,0.0,0.0
queen_mary_university_london,0.0,0.0,0.0,0.0,0.0,0.0
rebecca_allen,0.0,0.0,0.0,0.0,0.0,0.0
repec_econpapers,0.0,0.0,0.0,0.0,0.0,0.0
repec_ideas,0.0,0.0,0.0,0.0,0.0,0.0
research_improvement_for_policy_and_learning,0.0,0.0,0.0,0.0,0.0,0.0
research_on_research_institute,0.0,0.0,0.0,0.0,0.0,0.0
researchgate,0.0,0.0,0.0,0.0,0.0,0.0
sage_journals,0.0,0.0,0.0,0.0,0.0,0.0
samf_substack,0.0,0.0,0.0,0.0,0.0,0.0
schools_week,43.8,12.5,12.5,18.8,37.5,31.2
sciencedirect,0.0,0.0,0.0,0.0,0.0,0.0
scottish_ai,0.0,0.0,0.0,0.0,0.0,0.0
scottish_government,0.0,0.0,0.0,0.0,0.0,0.0
scottish_parliament,0.0,0.0,0.0,0.0,0.0,0.0
shadow_panel_project,0.0,0.0,0.0,0.0,0.0,0.0
sky_news,0.0,0.0,0.0,0.0,0.0,0.0
society_for_research_into_higher_education,0.0,0.0,0.0,0.0,0.0,0.0
staff_college,0.0,0.0,0.0,0.0,0.0,0.0
sustainable_school_leadership,0.0,0.0,0.0,0.0,0.0,0.0
sutton_trust,0.0,0.0,0.0,0.0,0.0,0.0
taylor_and_francis,0.0,0.0,0.0,0.0,0.0,0.0
teach_first,0.0,0.0,0.0,0.0,0.0,0.0
teacher_success,0.0,0.0,0.0,0.0,0.0,0.0
teacher_tapp,0.0,0.0,0.0,0.0,0.0,0.0
teaching_commission,0.0,0.0,0.0,0.0,0.0,0.0
tech_uk,0.0,0.0,0.0,0.0,0.0,0.0
techbullion,0.0,0.0,0.0,0.0,0.0,0.0
tes,0.0,0.0,0.0,0.0,0.0,0.0
the_difference,0.0,0.0,0.0,0.0,0.0,0.0
the_times,0.0,0.0,0.0,0.0,0.0,0.0
times_literary_supplement,0.0,0.0,0.0,0.0,0.0,0.0
tony_blair_institute,0.0,0.0,0.0,0.0,0.0,0.0
tpea_association,0.0,0.0,0.0,0.0,0.0,0.0
transforming_evidence,0.0,0.0,0.0,0.0,0.0,0.0
transforming_society,0.0,0.0,0.0,0.0,0.0,0.0
twinkl,0.0,0.0,0.0,0.0,0.0,0.0
twitter,0.0,0.0,0.0,0.0,0.0,0.0
ucl,75.0,25.0,0.0,25.0,25.0,0.0
uk_civil_service_jobs,0.0,0.0,0.0,0.0,0.0,0.0
uk_government,76.0,20.0,12.0,32.0,36.0,28.0
uk_parliament,33.3,66.7,8.3,75.0,66.7,58.3
ukri,0.0,0.0,0.0,0.0,0.0,0.0
unesco,0.0,0.0,0.0,0.0,0.0,0.0
