item_type,supply_pipeline,working_conditions,professional_development,diversity_equity,political_framing
academic_article,7,2,6,0,4
announcement,16,8,10,4,3
blog_post,3,3,4,0,6
government_document,15,5,7,0,19
linkedin_post,0,0,0,0,0
news_article,49,29,25,3,48
report,33,17,32,7,31
tweet,0,0,0,0,0
video,0,0,0,0,0
