frame,pre_pct,post_pct,change
supply_pipeline,48.1,56.7,8.6
working_conditions,34.0,22.0,-11.9
professional_development,34.9,37.0,2.1
diversity_equity,8.5,3.9,-4.6
political_framing,50.0,45.7,-4.3
