,issue_date,text,org_broad_category,organisation
84,2023-09-08,"Retaining high-quality teachers in disadvantaged communities is key to ensuring pupils' aspirations remain high, Teach First found, with new research showing that students from poorer backgrounds are more pessimistic about their future than their more well-off peers. https://www.tes.com/magazine/news/secondary/retaining-teachers-schools-disadvantaged-pupils-aspirations",media_sector,tes
87,2023-09-08,"Millions Of GCSE Lessons Taught By Non-Specialist Teachers GCSE pupils across the UK have had more than 75 million lessons taught by non-specialist teachers in the last two years, according to research carried out by the Liberal Democrats. https://www.politicshome.com/news/article/millions-gcse-lessons-taught-nonspecialist-teachers-lib-dems Retaining high-quality teachers in disadvantaged communities is key to ensuring pupils' aspirations remain high, Teach First found, with new research showing that students from poorer backgrounds are more pessimistic about their future than their more well-off peers. https://www.tes.com/magazine/news/secondary/retaining-teachers-schools-disadvantaged-pupils-aspirations",media_sector,politics_home
325,2024-03-01,Report from EEF - Teacher recruitment and retention in schools in socioeconomically disadvantaged areas in England – review of practice Read the report,,
621,2024-08-01,"WomenEd with BAMEedNetwork and HeadTeachers' RoundTable - Unlock the ITT pipeline to ensure race equity in schools The evidence that people of colour are less likely to get an offer to train to be a teacher than white peers has prompted this event. Be part of a conversation about tackling such inequity, culminating in agreed clear actions to change outcomes. Online event 5 September 5pm-6pm. Register for the event here.",,
1543,2026-01-16,"BERA - Event: Teacher recruitment and retention and its links to attainment gaps in England Aimed at teacher educators, school leaders, teachers, educational researchers and policy makers, this event brings together cutting-edge research to explore the challenges of teacher training, supply and retention and how place, vulnerability and socioeconomic status contribute to educational underachievement. More TES (subscription) - Do we really need better initial teacher training on SEND? Argues that if ITT is to play its full part in inclusion reform, the solution is not to bolt on more SEND content, but to keep refining and embedding inclusive pedagogy throughout the whole training-to-early-career journey to help new teachers to respond to all pupils.",academic_sector,bera
1637,2026-02-27,The Chartered College of Teaching - How to retain teacher-mothers: Practical steps for the return-to-work period Discusses research exploring the experiences of teacher-mothers with pre-school-age children and the policies that schools can implement to reduce barriers and improve equity.,civil_society_nonprofit_sector,chartered_college_of_teaching
1645,2026-03-06,"Department for Education - 6,500 additional teachers delivery plan Sets out how the DfE will focus investment in subjects with acute shortages and getting expert teachers into schools in areas of higher deprivation to maximise the impact on children and young peoples' outcomes and opportunities.",government_public_sector,uk_government
